mk_individual_id,PersonID,mk_individual_name,mk_individual_first_name,LastName,FirstName,IsCurrent,altnames
1132,48,מלר-הורוביץ,ירדנה,מלר-הורוביץ,ירדנה,False,"[""ירדנה מלר-הורוביץ""]"
1133,122,פורדס,גיורא,פורדס,גיורא,False,"[""גיורא פורדס""]"
1134,128,לב,דוד,לב,דוד,False,"[""דוד לב""]"
1135,134,ימין,אלינור,ימין,אלינור,True,"[""אלינור ימין""]"
1136,136,קפלן,רות,קפלן,רות,False,"[""רות קפלן""]"
1137,150,"שד""ר",יצחק,"שד""ר",יצחק,False,"[""יצחק שד\""ר""]"
1138,230,אפיק,שגית,אפיק,שגית,True,"[""שגית אפיק""]"
1139,326,גריף,יוסי,גריף,יוסי,False,"[""יוסי גריף""]"
1140,354,אלשטיין,נורית,אלשטיין,נורית,False,"[""נורית אלשטיין""]"
1141,365,בדר,נאזם,בדר,נאזם,False,"[""נאזם בדר""]"
12,405,אלון,בנימין,אלון,בנימין,False,"[""בנימין אלון""]"
46,412,הנדל,צבי,הנדל,צבי,False,"[""צבי הנדל""]"
51,417,זאבי,רחבעם,זאבי,רחבעם,False,"[""רחבעם זאבי""]"
209,421,כהן,אליעזר,כהן,אליעזר,False,"[""אליעזר כהן""]"
214,427,ליברמן,אביגדור,ליברמן,אביגדור,True,"[""אביגדור ליברמן""]"
121,430,שטרן,יורי,שטרן,יורי,False,"[""יורי שטרן""]"
704,431,אביטל,קולט,אביטל,קולט,False,"[""קולט אביטל""]"
6,432,אושעיה,אפי,אושעיה,אפי,False,"[""אפי אושעיה""]"
8,433,איציק,דליה,איציק,דליה,False,"[""דליה איציק""]"
137,434,בורג,אברהם,בורג,אברהם,False,"[""אברהם בורג""]"
20,435,בן-אליעזר,בנימין,בן-אליעזר,בנימין,False,"[""בנימין בן-אליעזר""]"
22,437,בן-מנחם,אלי,בן-מנחם,אלי,False,"[""אלי בן-מנחם""]"
23,439,בן-עמי,שלמה,בן-עמי,שלמה,False,"[""שלמה בן-עמי""]"
39,441,דיין,יעל,דיין,יעל,False,"[""יעל דיין""]"
59,442,טריף,סאלח,טריף,סאלח,False,"[""סאלח טריף""]"
62,444,יחזקאל,אברהם,יחזקאל,אברהם,False,"[""אברהם יחזקאל""]"
64,445,כבל,איתן,כבל,איתן,False,"[""איתן כבל"", ""כבל איתן""]"
67,446,כהן,רענן,כהן,רענן,False,"[""רענן כהן""]"
68,447,כץ,יוסי,כץ,יוסי,False,"[""יוסי כץ""]"
78,448,לנדבר,סופה,לנדבר,סופה,False,"[""סופיה לנדוור"", ""סופיה לנדבר"", ""(סוניה) סופיה לנדבר"", ""סופה לנדבר"", ""סוניה לנדבר""]"
220,449,מלכיאור,מיכאל,מלכיאור,מיכאל,False,"[""מיכאל מלכיאור""]"
85,453,מסאלחה,נואף,מסאלחה,נואף,False,"[""נואף מסאלחה""]"
94,454,סנה,אפרים,סנה,אפרים,False,"[""אפרים סנה""]"
100,455,פינס-פז,אופיר,פינס-פז,אופיר,False,"[""אופיר פינס-פז""]"
104,456,פרס,שמעון,פרס,שמעון,False,"[""שמעון פרס""]"
115,458,רמון,חיים,רמון,חיים,False,"[""חיים רמון""]"
117,459,שוחט,אברהם-בייגה,שוחט,אברהם-בייגה,False,"[""אברהם-בייגה שוחט""]"
205,460,שירי,ויצמן,שירי,ויצמן,False,"[""ויצמן שירי""]"
123,461,שמחון,שלום,שמחון,שלום,False,"[""שלום שמחון""]"
9,462,איתן,מיכאל,איתן,מיכאל,False,"[""מיכאל איתן""]"
278,463,ארנס,משה,ארנס,משה,False,"[""משה ארנס""]"
16,464,בוים,זאב,בוים,זאב,False,"[""זאב בוים""]"
19,465,בלומנטל,נעמי,בלומנטל,נעמי,False,"[""נעמי בלומנטל""]"
42,466,הירשזון,אברהם,הירשזון,אברהם,False,"[""אברהם הירשזון""]"
45,467,הנגבי,צחי,הנגבי,צחי,False,"[""צחי הנגבי""]"
69,468,כץ,ישראל,כץ,ישראל,True,"[""ישראל כץ""]"
213,469,לבני,ציפי,לבני,ציפי,False,"[""ציפורה ליבני"", ""ציפי לבני"", ""ציפי ליבני"", ""ציפורה לבני"", ""מלכה ציפורה ציפי לבני""]"
70,470,לבנת,לימור,לבנת,לימור,False,"[""לימור לבנת""]"
77,471,לנדאו,עוזי,לנדאו,עוזי,False,"[""עוזי לנדאו""]"
86,472,מצא,יהושע,מצא,יהושע,False,"[""יהושע מצא""]"
223,473,נוה,דני,נוה,דני,False,"[""דני נוה""]"
96,474,עזרא,גדעון,עזרא,גדעון,False,"[""גדעון עזרא""]"
1142,475,קרא,איוב,קרא,איוב,False,"[""איוב קרא""]"
114,476,ריבלין,ראובן,ריבלין,ראובן,False,"[""ראובן ריבלין""]"
695,477,שטייניץ,יובל,שטייניץ,יובל,False,"[""יובל שטייניץ"", ""יובל שטיניץ""]"
119,478,שטרית,מאיר,שטרית,מאיר,False,"[""מאיר שטרית""]"
1143,479,שלום,סילבן,שלום,סילבן,False,"[""סילבן שלום""]"
125,482,שרון,אריאל,שרון,אריאל,False,"[""אריאל שרון""]"
7,483,אזולאי,דוד,אזולאי,דוד,False,"[""דויד אזולי"", ""דויד אזולאי"", ""דוד אזולי"", ""דוד אזולאי""]"
25,484,בניזרי,שלמה,בניזרי,שלמה,False,"[""שלמה בניזרי""]"
198,485,גאגולה,יצחק,גאגולה,יצחק,False,"[""יצחק גאגולה""]"
34,486,גמליאל,אריה,גמליאל,אריה,False,"[""אריה גמליאל""]"
37,487,דהן,נסים,דהן,נסים,False,"[""נסים דהן""]"
50,488,וקנין,יצחק,וקנין,יצחק,False,"[""יצחק וקנין""]"
206,490,זאב,נסים,זאב,נסים,False,"[""נסים זאב""]"
207,492,חוגי,עופר,חוגי,עופר,False,"[""עופר חוגי""]"
58,493,טל,דוד,טל,דוד,False,"[""דוד טל""]"
63,494,ישי,אליהו,ישי,אליהו,False,"[""אליהו ישי""]"
210,495,כהן,אמנון,כהן,אמנון,False,"[""אמנון כהן""]"
222,498,נהרי,משולם,נהרי,משולם,False,"[""משולם נהרי""]"
225,499,סבן,יצחק,סבן,יצחק,False,"[""יצחק סבן""]"
226,500,סויסה,אליהו,סויסה,אליהו,False,"[""אליהו סויסה""]"
228,501,פרץ,יאיר,פרץ,יאיר,False,"[""יאיר פרץ""]"
200,503,גילאון,אילן,גילאון,אילן,False,"[""אילן גילאון"", ""אילן גלאון""]"
201,504,גלאון,זהבה,גלאון,זהבה,False,"[""זהבה גלאון"", ""גלאון זהבה""]"
203,505,וילן,אבשלום,וילן,אבשלום,False,"[""אבשלום וילן""]"
56,506,חזן,נעמי,חזן,נעמי,False,"[""נעמי חזן""]"
66,507,כהן,רן,כהן,רן,False,"[""רן כהן""]"
80,509,מאור,ענת,מאור,ענת,False,"[""ענת מאור""]"
113,510,רובינשטיין,אמנון,רובינשטיין,אמנון,False,"[""אמנון רובינשטיין""]"
708,511,רז,מוסי,רז,מוסי,False,"[""מוסי רז""]"
126,512,שריד,יוסי,שריד,יוסי,False,"[""יוסי שריד""]"
196,513,בריילובסקי,ויקטור,בריילובסקי,ויקטור,False,"[""ויקטור בריילובסקי""]"
217,517,לפיד,יוסף (טומי),לפיד,יוסף (טומי),False,"[""יוסף (טומי) לפיד""]"
221,518,נאות,יהודית,נאות,יהודית,False,"[""יהודית נאות""]"
98,519,פורז,אברהם,פורז,אברהם,False,"[""אברהם פורז""]"
227,520,פריצקי,יוסף יצחק,פריצקי,יוסף יצחק,False,"[""יוסף יצחק פריצקי""]"
194,521,אורלב,זבולון,אורלב,זבולון,False,"[""זבולון אורלב""]"
17,522,ביבי,יגאל,ביבי,יגאל,False,"[""יגאל ביבי""]"
202,523,דרוקמן,חיים,דרוקמן,חיים,False,"[""חיים דרוקמן""]"
61,524,יהלום,שאול,יהלום,שאול,False,"[""שאול יהלום""]"
696,525,לנגנטל,נחום,לנגנטל,נחום,False,"[""נחום לנגנטל""]"
35,526,גפני,משה,גפני,משה,True,"[""משה גפני"", ""רפאל משה גפני""]"
43,527,הלפרט,שמואל,הלפרט,שמואל,False,"[""שמואל הלפרט""]"
216,528,ליצמן,יעקב,ליצמן,יעקב,False,"[""יעקב ליצמן""]"
112,531,רביץ,אברהם,רביץ,אברהם,False,"[""אברהם רביץ""]"
1,532,אדלשטיין,יולי יואל,אדלשטיין,יולי יואל,True,"[""יואל יולי אדלשטיין"", ""יואל אדלשטיין"", ""יולי אדלשטין"", ""יולי - יואל אדלשטיין"", ""יולי יואל אדלשטיין"", ""יואל אדלשטין""]"
91,533,סולודקין,מרינה,סולודקין,מרינה,False,"[""מרינה סולודקין""]"
232,534,ריגר,גנדי,ריגר,גנדי,False,"[""גנדי ריגר""]"
127,535,שרנסקי,נתן,שרנסקי,נתן,False,"[""נתן שרנסקי""]"
72,536,לוי,דוד,לוי,דוד,False,"[""דוד לוי""]"
74,537,לוי,מקסים,לוי,מקסים,False,"[""מקסים לוי""]"
709,538,משעני,מרדכי,משעני,מרדכי,False,"[""מרדכי משעני""]"
231,539,רבין-פילוסוף,דליה,רבין-פילוסוף,דליה,False,"[""דליה רבין-פילוסוף""]"
197,540,ברכה,מוחמד,ברכה,מוחמד,False,"[""מוחמד ברכה""]"
31,541,גוז'נסקי,תמר,גוז'נסקי,תמר,False,"[""תמר גוז'נסקי""]"
218,542,מח'ול,עסאם,מח'ול,עסאם,False,"[""עסאם מח'ול""]"
712,543,לסרי,יחיאל,לסרי,יחיאל,False,"[""יחיאל לסרי""]"
82,544,מגן,דוד,מגן,דוד,False,"[""דוד מגן""]"
155,545,מילוא,רוני,מילוא,רוני,False,"[""רוני מילוא""]"
88,546,מרידור,דן,מרידור,דן,False,"[""דן מרידור""]"
711,548,רונן,נחמה,רונן,נחמה,False,"[""נחמה רונן""]"
13,549,אלסאנע,טלב,אלסאנע,טלב,False,"[""טלב אלסאנע""]"
36,550,דהאמשה,עבד-אלמאלכ,דהאמשה,עבד-אלמאלכ,False,"[""עבד-אלמאלכ דהאמשה""]"
83,551,מחאמיד,האשם,מחאמיד,האשם,False,"[""האשם מחאמיד""]"
26,552,ברונפמן,רומן,ברונפמן,רומן,False,"[""רומן ברונפמן""]"
229,553,צינקר,אלכסנדר,צינקר,אלכסנדר,False,"[""אלכסנדר צינקר""]"
57,554,חטיב,תאופיק,חטיב,תאופיק,False,"[""תאופיק חטיב""]"
211,555,כנעאן,מוחמד,כנעאן,מוחמד,False,"[""מוחמד כנעאן""]"
212,556,כץ,חיים,כץ,חיים,True,"[""חיים כץ""]"
105,557,פרץ,עמיר,פרץ,עמיר,False,"[""אמיר פרץ"", ""עמיר ארמנד פרץ"", ""עמיר פרץ""]"
29,558,בשארה,עזמי,בשארה,עזמי,False,"[""עזמי בשארה""]"
109,559,קליינר,מיכאל,קליינר,מיכאל,False,"[""מיכאל קליינר""]"
208,560,טיבי,אחמד,טיבי,אחמד,True,"[""אחמד טיבי""]"
103,563,פרוש,מאיר,פרוש,מאיר,True,"[""מאיר פרוש""]"
219,564,מלול,רחמים,מלול,רחמים,False,"[""רחמים מלול""]"
89,565,נודלמן,מיכאל,נודלמן,מיכאל,False,"[""מיכאל נודלמן""]"
54,567,זנדברג,אליעזר,זנדברג,אליעזר,False,"[""אליעזר זנדברג""]"
65,580,כהן,יצחק,כהן,יצחק,False,"[""יצחק כהן""]"
130,584,אביטל,שמואל,אביטל,שמואל,False,"[""שמואל אביטל""]"
710,585,אוחנה,אשר,אוחנה,אשר,False,"[""אשר אוחנה""]"
1144,650,האן,אריה,האן,אריה,False,"[""אריה האן""]"
664,664,לוי,אבי,לוי,אבי,False,"[""אבי לוי""]"
713,713,אריאל,אורי,אריאל,אורי,False,"[""יהודה אורי הכהן אריאל"", ""אורי אריאל"", ""אורי יהודה אריאל""]"
714,755,כהן,אלי,כהן,אלי,False,"[""אלי כהן""]"
715,763,איתם,אפי,איתם,אפי,False,"[""אפי איתם""]"
73,765,לוי,יצחק,לוי,יצחק,False,"[""יצחק לוי""]"
716,818,גלעד,יהודה,גלעד,יהודה,False,"[""יהודה גלעד""]"
33,860,גולדשמידט,אלי,גולדשמידט,אלי,False,"[""אלי גולדשמידט""]"
27,861,ברעם,עוזי,ברעם,עוזי,False,"[""עוזי ברעם""]"
110,862,קצב,משה,קצב,משה,False,"[""משה קצב""]"
717,865,נוקד,אורית,נוקד,אורית,False,"[""אורית נוקד""]"
718,889,רשף,צלי,רשף,צלי,False,"[""צלי רשף""]"
719,926,אבן,עוזי,אבן,עוזי,False,"[""עוזי אבן""]"
720,949,מופז,שאול,מופז,שאול,False,"[""שאול מופז""]"
90,965,נתניהו,בנימין,נתניהו,בנימין,True,"[""בנימין נתניהו"", ""בינימין נתניהו""]"
722,986,צברי,פנחס,צברי,פנחס,False,"[""פנחס צברי""]"
723,1025,גמליאל,גילה,גמליאל,גילה,True,"[""גילה גמליאל""]"
724,1026,אברהם-בלילא,רוחמה,אברהם-בלילא,רוחמה,False,"[""רוחמה אברהם-בלילא""]"
725,1027,סער,גדעון,סער,גדעון,True,"[""גדעון סער""]"
726,1028,בנלולו,דניאל,בנלולו,דניאל,False,"[""דניאל בנלולו""]"
169,1029,רצון,מיכאל,רצון,מיכאל,False,"[""מיכאל רצון""]"
727,1030,והבה,מגלי,והבה,מגלי,False,"[""מגלי והבה""]"
728,1031,אדרי,יעקב,אדרי,יעקב,False,"[""יעקב אדרי""]"
729,1032,יתום,אהוד,יתום,אהוד,False,"[""אהוד יתום""]"
730,1033,אפללו,אלי,אפללו,אלי,False,"[""אלי אפללו""]"
731,1034,כחלון,משה,כחלון,משה,False,"[""משה כחלון""]"
732,1035,שרון,עמרי,שרון,עמרי,False,"[""עמרי שרון""]"
733,1036,גורלובסקי,מיכאל,גורלובסקי,מיכאל,False,"[""מיכאל גורלובסקי""]"
734,1037,ארדן,גלעד,ארדן,גלעד,False,"[""גלעד ארדן"", ""גילעד ארדן""]"
735,1038,בר-און,רוני,בר-און,רוני,False,"[""רוני בר-און""]"
736,1039,גבריאלי,ענבל,גבריאלי,ענבל,False,"[""ענבל גבריאלי""]"
737,1040,חזן,יחיאל,חזן,יחיאל,False,"[""יחיאל חזן""]"
738,1041,נס,לאה,נס,לאה,False,"[""לאה נס""]"
739,1042,מצנע,עמרם,מצנע,עמרם,False,"[""עמרם מצנע""]"
697,1043,תמיר,יולי,תמיר,יולי,False,"[""יולי תמיר""]"
740,1044,הרצוג,יצחק,הרצוג,יצחק,False,"[""יצחק הרצוג"", ""בוזי הרצוג""]"
741,1045,יתום,דני,יתום,דני,False,"[""דני יתום""]"
742,1046,שלגי,אילן,שלגי,אילן,False,"[""אילן שלגי""]"
743,1047,פולישוק-בלוך,מלי,פולישוק-בלוך,מלי,False,"[""מלי פולישוק-בלוך""]"
744,1048,חן,רשף,חן,רשף,False,"[""רשף חן""]"
745,1049,בריזון,רוני,בריזון,רוני,False,"[""רוני בריזון""]"
746,1050,רצאבי,אהוד,רצאבי,אהוד,False,"[""אהוד רצאבי""]"
747,1051,לבני,אתי,לבני,אתי,False,"[""אתי לבני""]"
748,1052,ליבוביץ,אילן,ליבוביץ,אילן,False,"[""אילן ליבוביץ""]"
749,1053,דורון,חמי,דורון,חמי,False,"[""חמי דורון""]"
750,1054,יאסינוב,יגאל,יאסינוב,יגאל,False,"[""יגאל יאסינוב""]"
752,1055,אלדד,אריה,אלדד,אריה,False,"[""אריה אלדד""]"
751,1056,מרגי,יעקב,מרגי,יעקב,True,"[""יעקוב מרגי"", ""יעקב מרגי""]"
754,1057,אייכלר,ישראל,אייכלר,ישראל,True,"[""ישראל איכלר"", ""ישראל אייכלר"", ""אייכלר ישראל יצחק""]"
753,1059,פינקלשטיין,גילה,פינקלשטיין,גילה,False,"[""גילה פינקלשטיין""]"
756,1061,זחאלקה,ג'מאל,זחאלקה,ג'מאל,False,"[""ג׳אמל זחלקה"", ""גמאל זחאלקה"", ""ג׳מל זחלקה"", ""ג׳מל זחאלקה"", ""ג`מאל זחאלקה"", ""ג'מאל זחאלקה"", ""ג׳מאל זחלקה"", ""ג׳אמל זחאלקה""]"
757,1062,טאהא,ואסל,טאהא,ואסל,False,"[""ואסל טאהא""]"
1145,1063,כהן,אילנה,כהן,אילנה,False,"[""אילנה כהן""]"
3,1064,אולמרט,אהוד,אולמרט,אהוד,False,"[""אהוד אולמרט""]"
5,1065,אורון,חיים,אורון,חיים,False,"[""חיים אורון""]"
204,1067,וילנאי,מתן,וילנאי,מתן,False,"[""מתן וילנאי""]"
92,1068,סלומינסקי,ניסן,סלומינסקי,ניסן,False,"[""סלומיאנסקי ניסן"", ""ניסן סלומיאנסקי"", ""ניסן סלומינסקי""]"
1996,1996,מרזוק,דן,מרזוק,דן,True,"[""דן מרזוק""]"
758,2014,מג'אדלה,ראלב,מג'אדלה,ראלב,False,"[""ראלב מג'אדלה""]"
672,2114,שרת,משה,שרת,משה,False,"[""משה שרת""]"
129,2116,א'-דאהר,אחמד,א'-דאהר,אחמד,False,"[""אחמד א'-דאהר""]"
180,2117,אבו-רביעה,חמאד,אבו-רביעה,חמאד,False,"[""חמאד אבו-רביעה""]"
233,2118,אבו-רוכן,לביב,אבו-רוכן,לביב,False,"[""לביב אבו-רוכן""]"
178,2119,אבוחצירא,אהרן,אבוחצירא,אהרן,False,"[""אהרן אבוחצירא""]"
234,2120,אבטבי,אליעזר,אבטבי,אליעזר,False,"[""אליעזר אבטבי""]"
235,2121,אביזוהר,מאיר,אביזוהר,מאיר,False,"[""מאיר אביזוהר""]"
236,2122,אבן,אבא,אבן,אבא,False,"[""אבא אבן""]"
237,2123,אבניאל,בנימין,אבניאל,בנימין,False,"[""בנימין אבניאל""]"
238,2124,אבנרי,אורי,אבנרי,אורי,False,"[""אורי אבנרי""]"
239,2125,אבריאל,אהוד,אבריאל,אהוד,False,"[""אהוד אבריאל""]"
240,2126,אברמוב,שניאור זלמן,אברמוב,שניאור זלמן,False,"[""שניאור זלמן אברמוב""]"
241,2127,אברמוביץ,יהודה-מאיר,אברמוביץ,יהודה-מאיר,False,"[""יהודה-מאיר אברמוביץ""]"
2,2128,אדרי,רפאל,אדרי,רפאל,False,"[""רפאל אדרי""]"
242,2129,אוזן,אהרן,אוזן,אהרן,False,"[""אהרן אוזן""]"
243,2130,אולמרט,מרדכי,אולמרט,מרדכי,False,"[""מרדכי אולמרט""]"
245,2131,אונא,משה,אונא,משה,False,"[""משה אונא""]"
4,2132,אור,אורי,אור,אורי,False,"[""אורי אור""]"
246,2133,אורי,יעקב,אורי,יעקב,False,"[""יעקב אורי""]"
247,2134,אזניה,ברוך,אזניה,ברוך,False,"[""ברוך אזניה""]"
131,2135,אחימאיר,יוסף,אחימאיר,יוסף,False,"[""יוסף אחימאיר""]"
248,2136,אידלסון,בבה,אידלסון,בבה,False,"[""בבה אידלסון""]"
249,2137,איכילוב,עזרא,איכילוב,עזרא,False,"[""עזרא איכילוב""]"
10,2138,איתן,רפאל,איתן,רפאל,False,"[""רפאל איתן""]"
252,2139,אלגרבלי,מרדכי,אלגרבלי,מרדכי,False,"[""מרדכי אלגרבלי""]"
253,2140,אלדרוטי,צבי,אלדרוטי,צבי,False,"[""צבי אלדרוטי""]"
11,2141,אלול,רפאל,אלול,רפאל,False,"[""רפאל אלול""]"
682,2142,אלון,יגאל,אלון,יגאל,False,"[""יגאל אלון""]"
132,2143,אלוני,שולמית,אלוני,שולמית,False,"[""שולמית אלוני""]"
251,2144,אלזועבי,סיף-אלדין,אלזועבי,סיף-אלדין,False,"[""סיף-אלדין אלזועבי""]"
254,2145,אלטמן,אריה,אלטמן,אריה,False,"[""אריה אלטמן""]"
255,2146,אליאב,אריה לובה,אליאב,אריה לובה,False,"[""אריה לובה אליאב""]"
256,2147,אליהו,שלמה,אליהו,שלמה,False,"[""שלמה אליהו""]"
257,2148,אליעד,נסים,אליעד,נסים,False,"[""נסים אליעד""]"
258,2149,אלישר,אליהו,אלישר,אליהו,False,"[""אליהו אלישר""]"
259,2150,אלמוגי,יוסף-אהרון,אלמוגי,יוסף-אהרון,False,"[""יוסף-אהרון אלמוגי""]"
260,2151,אלמליח,אברהם,אלמליח,אברהם,False,"[""אברהם אלמליח""]"
261,2152,אמוראי,עדיאל,אמוראי,עדיאל,False,"[""עדיאל אמוראי""]"
262,2153,אמיר,יעקב-ז'אק,אמיר,יעקב-ז'אק,False,"[""יעקב-ז'אק אמיר""]"
179,2154,אנאשף,מחמוד,אנאשף,מחמוד,False,"[""מחמוד אנאשף""]"
263,2155,אנקוריון,ארי,אנקוריון,ארי,False,"[""ארי אנקוריון""]"
264,2156,אסא,ירחמיאל,אסא,ירחמיאל,False,"[""ירחמיאל אסא""]"
133,2157,אסעד,אסעד,אסעד,אסעד,False,"[""אסעד אסעד""]"
265,2158,אסעד,שפיק,אסעד,שפיק,False,"[""שפיק אסעד""]"
266,2159,אסף,עמי,אסף,עמי,False,"[""עמי אסף""]"
267,2160,אפרת,אהרון,אפרת,אהרון,False,"[""אהרון אפרת""]"
268,2161,אפרתי,יוסף,אפרתי,יוסף,False,"[""יוסף אפרתי""]"
269,2162,ארבלי-אלמוזלינו,שושנה,ארבלי-אלמוזלינו,שושנה,False,"[""שושנה ארבלי-אלמוזלינו""]"
270,2163,ארגוב,מאיר,ארגוב,מאיר,False,"[""מאיר ארגוב""]"
2164,2164,ארד,נאוה,ארד,נאוה,False,"[""נאוה ארד""]"
271,2165,ארדיטי,בנימין,ארדיטי,בנימין,False,"[""בנימין ארדיטי""]"
272,2166,ארזי,ראובן,ארזי,ראובן,False,"[""ראובן ארזי""]"
273,2167,אריאב,חיים,אריאב,חיים,False,"[""חיים אריאב""]"
274,2168,ארידור,יורם,ארידור,יורם,False,"[""יורם ארידור""]"
275,2169,ארליך,שמחה,ארליך,שמחה,False,"[""שמחה ארליך""]"
276,2170,ארם,משה,ארם,משה,False,"[""משה ארם""]"
277,2171,ארן,זלמן,ארן,זלמן,False,"[""זלמן ארן""]"
279,2172,ארצי,יצחק,ארצי,יצחק,False,"[""יצחק ארצי""]"
683,2173,אשכול,לוי,אשכול,לוי,False,"[""לוי אשכול""]"
280,2174,אשל,תמר,אשל,תמר,False,"[""תמר אשל""]"
135,2175,בא-גד,יוסף,בא-גד,יוסף,False,"[""יוסף בא-גד""]"
281,2176,בארי,ידידיה,בארי,ידידיה,False,"[""ידידיה בארי""]"
282,2177,בבה,שמחה,בבה,שמחה,False,"[""שמחה בבה""]"
14,2178,בגין,זאב בנימין,בגין,זאב בנימין,False,"[""זאב בנימין בגין"", ""בינימין בגין"", ""בנימין בגין""]"
692,2179,בגין,מנחם,בגין,מנחם,False,"[""מנחם בגין""]"
283,2180,בדיאן,אליקים-גוסטב,בדיאן,אליקים-גוסטב,False,"[""אליקים-גוסטב בדיאן""]"
284,2181,בדר,יוחנן,בדר,יוחנן,False,"[""יוחנן בדר""]"
285,2182,בדר,מנחם,בדר,מנחם,False,"[""מנחם בדר""]"
15,2183,בדש,פיני,בדש,פיני,False,"[""פיני בדש""]"
286,2184,בהיר,אריה,בהיר,אריה,False,"[""אריה בהיר""]"
287,2185,בוגר,חיים,בוגר,חיים,False,"[""חיים בוגר""]"
2186,2186,בוחבוט,שלמה,בוחבוט,שלמה,False,"[""שלמה בוחבוט""]"
288,2187,בורג,יוסף,בורג,יוסף,False,"[""יוסף בורג""]"
289,2188,בז'רנו,שמעון,בז'רנו,שמעון,False,"[""שמעון בז'רנו""]"
290,2189,ביבי,מרדכי,ביבי,מרדכי,False,"[""מרדכי ביבי""]"
291,2190,ביטון,אברהם,ביטון,אברהם,False,"[""אברהם ביטון""]"
292,2191,ביטון,צ'רלי,ביטון,צ'רלי,False,"[""צ'רלי ביטון""]"
18,2192,ביילין,יוסי,ביילין,יוסי,False,"[""יוסי ביילין""]"
293,2193,בלומנטל,נפתלי,בלומנטל,נפתלי,False,"[""נפתלי בלומנטל""]"
294,2194,בן-אהרן,יצחק,בן-אהרן,יצחק,False,"[""יצחק בן-אהרן""]"
295,2195,בן-אליעזר,אריה,בן-אליעזר,אריה,False,"[""אריה בן-אליעזר""]"
21,2196,בן-אלישר,אליהו,בן-אלישר,אליהו,False,"[""אליהו בן-אלישר""]"
296,2197,בן-אשר,חיים,בן-אשר,חיים,False,"[""חיים בן-אשר""]"
684,2198,בן-גוריון,דוד,בן-גוריון,דוד,False,"[""דוד בן-גוריון""]"
297,2199,בן-יעקב,זלמן,בן-יעקב,זלמן,False,"[""זלמן בן-יעקב""]"
298,2200,בן-ישראל,גדעון,בן-ישראל,גדעון,False,"[""גדעון בן-ישראל""]"
299,2201,בן-מאיר,דב,בן-מאיר,דב,False,"[""דב בן-מאיר""]"
300,2202,בן-מאיר,יהודה,בן-מאיר,יהודה,False,"[""יהודה בן-מאיר""]"
301,2203,בן-מאיר,שלמה-ישראל,בן-מאיר,שלמה-ישראל,False,"[""שלמה-ישראל בן-מאיר""]"
302,2204,בן-עמי,משה,בן-עמי,משה,False,"[""משה בן-עמי""]"
303,2206,בן-פורת,מרדכי,בן-פורת,מרדכי,False,"[""מרדכי בן-פורת""]"
680,2207,בן-צבי,יצחק,בן-צבי,יצחק,False,"[""יצחק בן-צבי""]"
24,2208,בן-צור,שמריהו,בן-צור,שמריהו,False,"[""שמריהו בן-צור""]"
304,2209,בן-שלמה,שמעון,בן-שלמה,שמעון,False,"[""שמעון בן-שלמה""]"
305,2210,בנטוב,מרדכי,בנטוב,מרדכי,False,"[""מרדכי בנטוב""]"
306,2211,בסטוני,רוסתם,בסטוני,רוסתם,False,"[""רוסתם בסטוני""]"
307,2212,בקר,אהרן,בקר,אהרן,False,"[""אהרן בקר""]"
308,2213,בר-און,מרדכי,בר-און,מרדכי,False,"[""מרדכי בר-און""]"
309,2214,בר-זהר,מיכאל,בר-זהר,מיכאל,False,"[""מיכאל בר-זהר""]"
310,2215,בר-יהודה,ישראל,בר-יהודה,ישראל,False,"[""ישראל בר-יהודה""]"
311,2216,בר-לב,חיים,בר-לב,חיים,False,"[""חיים בר-לב""]"
312,2217,בר-ניר,דב,בר-ניר,דב,False,"[""דב בר-ניר""]"
313,2218,בר-רב-האי,דוד,בר-רב-האי,דוד,False,"[""דוד בר-רב-האי""]"
314,2219,ברגר,הרצל,ברגר,הרצל,False,"[""הרצל ברגר""]"
315,2220,ברזילי,ישראל,ברזילי,ישראל,False,"[""ישראל ברזילי""]"
316,2221,ברמן,אברהם,ברמן,אברהם,False,"[""אברהם ברמן""]"
317,2222,ברמן,יצחק,ברמן,יצחק,False,"[""יצחק ברמן""]"
318,2223,ברנשטיין,פרץ,ברנשטיין,פרץ,False,"[""פרץ ברנשטיין""]"
319,2224,ברעם,משה,ברעם,משה,False,"[""משה ברעם""]"
320,2225,ברץ,יוסף,ברץ,יוסף,False,"[""יוסף ברץ""]"
28,2226,ברק,אהוד,ברק,אהוד,False,"[""אהוד ברק""]"
321,2227,ברקת,ראובן,ברקת,ראובן,False,"[""ראובן ברקת""]"
322,2228,בש,רפאל,בש,רפאל,False,"[""רפאל בש""]"
199,2229,ג'בארה,חוסניה,ג'בארה,חוסניה,False,"[""חוסניה ג'בארה""]"
323,2230,ג'בארה,חליל-סלים,ג'בארה,חליל-סלים,False,"[""חליל-סלים ג'בארה""]"
345,2231,ג'רג'ורה,אמין,ג'רג'ורה,אמין,False,"[""אמין ג'רג'ורה""]"
30,2232,גבאי,אליהו,גבאי,אליהו,False,"[""אליהו גבאי""]"
324,2233,גבתי,חיים,גבתי,חיים,False,"[""חיים גבתי""]"
325,2234,גדות,גדעון,גדות,גדעון,False,"[""גדעון גדות""]"
2235,2235,גוברין,עקיבא,גוברין,עקיבא,False,"[""עקיבא גוברין""]"
